Age,Gender,Years at Company,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
52,Female,13,7717,Fair,Medium,Below Average,0,Yes,54,Master’s Degree,Single,1,Senior,Medium,37,No,Yes,No,Fair,High,Stayed
50,Male,38,8566,Good,Very High,Average,0,Yes,44,High School,Single,2,Mid,Small,104,No,Yes,No,Excellent,Low,Left
24,Male,14,4266,Excellent,Medium,Average,1,No,59,Bachelor’s Degree,Divorced,4,Entry,Medium,18,No,No,Yes,Good,Medium,Stayed
21,Female,8,11678,Fair,Very High,Average,3,Yes,61,Master’s Degree,Divorced,0,Mid,Medium,86,No,No,No,Good,Medium,Stayed
25,Female,3,5682,Poor,High,Average,0,Yes,59,Bachelor’s Degree,Married,0,Mid,Small,37,Yes,No,No,Poor,Very High,Left
59,Female,30,10525,Good,High,High,2,No,23,High School,Married,0,Mid,Medium,103,No,No,No,Fair,Medium,Left
41,Female,8,5071,Good,Medium,Average,0,No,45,Associate Degree,Married,1,Entry,Small,71,No,No,No,Good,Low,Left
47,Male,22,5156,Fair,Very High,Below Average,0,Yes,59,Bachelor’s Degree,Married,3,Entry,Large,26,No,No,No,Poor,Medium,Left
46,Male,32,5892,Excellent,High,Average,0,Yes,42,Bachelor’s Degree,Single,1,Mid,Small,75,No,No,No,Fair,Low,Left
30,Female,13,5985,Excellent,High,Below Average,3,Yes,31,Bachelor’s Degree,Divorced,1,Mid,Small,47,No,No,No,Good,High,Stayed
43,Female,29,8916,Fair,High,Average,1,No,58,Master’s Degree,Divorced,3,Entry,Small,91,Yes,No,No,Good,Low,Stayed
59,Female,14,5928,Poor,High,Average,2,No,95,Master’s Degree,Married,0,Mid,Large,67,No,No,No,Poor,High,Stayed
29,Female,3,5567,Good,High,Average,1,No,54,PhD,Single,0,Senior,Small,60,No,No,No,Good,Medium,Stayed
22,Female,7,6553,Fair,High,Average,0,Yes,84,Associate Degree,Married,1,Senior,Medium,42,No,No,No,Good,High,Stayed
51,Male,2,5028,Good,Very High,Average,2,No,45,High School,Divorced,3,Mid,Small,57,No,No,No,Good,Low,Stayed
50,Male,6,8171,Good,High,Average,0,Yes,16,Bachelor’s Degree,Married,1,Entry,Medium,11,No,No,No,Good,Medium,Left
30,Male,14,6430,Excellent,High,Average,0,Yes,65,Bachelor’s Degree,Married,3,Entry,Medium,75,No,No,No,Poor,Medium,Left
56,Female,33,8123,Fair,High,High,3,Yes,67,Bachelor’s Degree,Single,3,Entry,Medium,82,No,No,Yes,Excellent,Low,Left
40,Female,28,7666,Good,High,Average,2,Yes,94,Associate Degree,Divorced,4,Entry,Large,30,No,No,No,Good,Medium,Left
28,Female,11,8634,Good,Low,Average,0,Yes,59,Master’s Degree,Divorced,1,Mid,Large,18,No,No,No,Good,Low,Stayed
20,Male,5,6325,Good,Very High,Low,1,No,78,Bachelor’s Degree,Single,1,Mid,Large,78,No,Yes,No,Fair,High,Left
54,Male,1,3668,Fair,High,Low,1,Yes,10,High School,Single,1,Senior,Large,30,No,No,No,Good,Low,Stayed
35,Female,6,8224,Excellent,High,High,0,Yes,85,High School,Married,3,Senior,Medium,44,No,No,No,Fair,Low,Stayed
44,Female,17,5866,Good,Very High,Below Average,0,No,53,Associate Degree,Married,2,Mid,Medium,25,No,No,No,Poor,Medium,Stayed
40,Male,26,5510,Fair,Very High,Below Average,0,Yes,14,Master’s Degree,Married,1,Mid,Large,55,No,No,No,Good,Medium,Stayed
50,Female,1,11237,Poor,Medium,High,0,Yes,49,High School,Married,0,Mid,Large,47,Yes,No,No,Fair,High,Stayed
34,Female,15,3100,Good,High,Average,2,No,25,Bachelor’s Degree,Married,1,Entry,Medium,73,No,No,No,Fair,Low,Left
47,Female,32,9423,Poor,High,High,0,No,20,High School,Divorced,0,Mid,Medium,59,No,No,No,Poor,Low,Left
26,Male,16,4758,Poor,High,Average,0,Yes,69,Bachelor’s Degree,Married,0,Entry,Medium,35,No,Yes,No,Fair,Low,Left
25,Female,3,3944,Good,Low,High,1,No,33,Master’s Degree,Married,1,Entry,Small,77,No,No,No,Good,Low,Stayed
59,Male,50,7246,Good,High,Average,2,No,63,Associate Degree,Married,1,Senior,Medium,121,No,No,No,Poor,Low,Stayed
23,Female,13,5597,Good,Low,High,0,No,26,Associate Degree,Divorced,2,Entry,Medium,65,No,No,No,Poor,Low,Stayed
28,Male,13,9098,Poor,High,Low,0,Yes,37,PhD,Single,2,Senior,Small,26,No,No,Yes,Poor,Low,Stayed
31,Male,7,8860,Fair,Low,Average,0,Yes,60,High School,Married,3,Entry,Small,61,No,No,No,Fair,Medium,Left
24,Female,12,3630,Good,Medium,Below Average,0,No,29,Bachelor’s Degree,Married,0,Entry,Medium,49,No,No,Yes,Poor,Medium,Left
30,Female,10,4943,Good,High,Average,1,No,64,Master’s Degree,Single,1,Mid,Small,50,No,No,No,Poor,Low,Left
38,Female,18,8159,Fair,Low,Average,0,No,28,Associate Degree,Married,4,Senior,Small,46,Yes,No,No,Fair,Medium,Stayed
24,Male,1,6245,Good,Medium,Average,1,No,29,Associate Degree,Married,3,Senior,Large,21,No,No,No,Good,Low,Stayed
33,Male,20,10236,Excellent,High,Low,0,No,89,PhD,Married,1,Mid,Medium,28,No,Yes,No,Excellent,Medium,Stayed
28,Female,7,6969,Poor,High,Below Average,0,No,33,Bachelor’s Degree,Single,1,Mid,Small,45,No,No,No,Fair,Low,Left
33,Female,18,4455,Poor,Medium,Average,1,No,48,Bachelor’s Degree,Married,1,Entry,Medium,75,No,No,No,Poor,Low,Left
41,Female,18,7808,Good,High,Average,0,No,84,Master’s Degree,Married,1,Mid,Medium,39,No,No,No,Fair,Medium,Stayed
52,Male,7,11181,Poor,Very High,High,0,No,4,Associate Degree,Married,1,Mid,Large,38,No,No,Yes,Good,Low,Stayed
18,Female,2,9127,Poor,High,Average,0,No,31,High School,Divorced,3,Entry,Medium,77,No,No,No,Fair,High,Left
55,Male,32,8904,Good,High,High,0,No,18,High School,Married,2,Entry,Medium,95,No,No,No,Good,Medium,Left
40,Female,12,6567,Good,High,Average,4,No,95,Bachelor’s Degree,Married,4,Entry,Medium,53,No,No,No,Good,High,Stayed
34,Female,1,8144,Good,Medium,High,3,No,26,Associate Degree,Single,4,Entry,Medium,42,No,No,No,Poor,Medium,Stayed
38,Male,4,7066,Fair,Very High,Average,0,No,50,Associate Degree,Single,1,Senior,Medium,18,No,No,No,Good,Low,Stayed
29,Male,16,3963,Fair,High,Average,1,Yes,55,Associate Degree,Divorced,3,Senior,Medium,93,No,No,No,Good,High,Stayed
37,Male,23,9274,Excellent,Medium,Below Average,0,No,27,Bachelor’s Degree,Single,5,Mid,Small,63,No,No,No,Poor,High,Left
21,Male,11,11331,Good,Medium,Average,1,No,97,Associate Degree,Married,3,Senior,Large,72,No,No,No,Fair,Low,Stayed
23,Female,5,9304,Excellent,Medium,Below Average,0,No,27,Bachelor’s Degree,Married,1,Mid,Medium,78,No,No,No,Poor,Medium,Left
24,Female,12,8817,Good,Medium,Average,1,No,1,Associate Degree,Single,1,Entry,Small,16,Yes,No,No,Good,Low,Left
26,Female,1,6264,Excellent,Medium,Average,0,No,81,Associate Degree,Single,0,Entry,Medium,71,No,No,Yes,Poor,Low,Left
20,Male,4,7362,Good,High,Average,1,No,48,Associate Degree,Married,3,Entry,Small,9,No,No,No,Excellent,Low,Left
41,Male,8,11464,Fair,High,Average,0,Yes,39,Bachelor’s Degree,Single,5,Senior,Medium,32,Yes,No,No,Good,High,Stayed
37,Male,25,10952,Fair,High,Below Average,0,No,69,Associate Degree,Married,3,Entry,Medium,40,No,No,No,Good,Low,Stayed
45,Male,15,8265,Good,High,High,2,Yes,62,High School,Single,0,Mid,Medium,22,Yes,No,No,Poor,Very High,Stayed
34,Male,11,4708,Poor,High,Average,1,No,96,Bachelor’s Degree,Married,3,Entry,Medium,57,Yes,No,No,Fair,Medium,Stayed
57,Female,19,4397,Excellent,High,Average,1,Yes,32,Associate Degree,Married,0,Senior,Small,43,No,No,No,Excellent,Low,Stayed
41,Female,3,5961,Fair,High,High,0,Yes,63,Bachelor’s Degree,Married,4,Entry,Medium,16,No,No,No,Good,High,Left
46,Male,34,3995,Good,Very High,Average,2,No,22,Associate Degree,Married,1,Senior,Small,87,No,No,No,Good,Low,Stayed
59,Male,49,3371,Fair,High,Average,0,Yes,71,Associate Degree,Married,2,Mid,Small,109,No,No,No,Good,Low,Left
51,Female,16,8988,Good,High,Below Average,1,Yes,94,High School,Married,1,Entry,Small,36,No,No,No,Good,High,Stayed
25,Male,16,3459,Excellent,Low,Average,0,No,50,Associate Degree,Married,0,Mid,Small,62,No,No,No,Good,Medium,Stayed
19,Female,10,9476,Excellent,High,Below Average,0,No,87,Associate Degree,Married,1,Mid,Large,66,No,No,No,Good,Low,Stayed
43,Male,26,3229,Good,Very High,Average,1,Yes,76,Master’s Degree,Married,1,Mid,Medium,81,No,No,No,Poor,High,Stayed
33,Female,13,3795,Poor,High,Average,0,No,47,Master’s Degree,Married,3,Senior,Small,26,No,No,Yes,Good,Very High,Stayed
33,Female,14,6959,Fair,Very High,Average,2,Yes,69,Bachelor’s Degree,Divorced,1,Entry,Large,27,Yes,No,No,Good,Low,Stayed
58,Male,36,9086,Excellent,Medium,Average,0,No,3,High School,Married,3,Entry,Medium,45,No,No,No,Good,Low,Left
58,Female,34,6643,Excellent,High,Low,2,No,19,Master’s Degree,Divorced,0,Entry,Small,89,Yes,No,No,Poor,High,Stayed
53,Female,8,10069,Good,High,High,0,No,64,High School,Married,3,Entry,Medium,28,No,No,No,Fair,Very High,Left
29,Female,5,6744,Fair,High,Average,2,No,43,Associate Degree,Married,0,Entry,Medium,61,Yes,No,No,Good,Low,Stayed
31,Male,10,8704,Poor,High,Average,2,Yes,80,Bachelor’s Degree,Married,5,Senior,Medium,28,Yes,No,No,Good,High,Stayed
45,Female,6,6223,Fair,Very High,Average,0,No,1,Bachelor’s Degree,Married,1,Mid,Medium,10,No,No,No,Good,High,Left
21,Female,7,8975,Good,High,Average,2,No,25,High School,Single,2,Senior,Medium,86,No,No,No,Poor,Low,Stayed
51,Male,6,6097,Fair,Very High,Average,0,No,11,Associate Degree,Married,2,Entry,Small,37,No,No,No,Excellent,Low,Left
28,Male,14,3833,Excellent,Very High,Average,2,No,8,Master’s Degree,Married,4,Entry,Medium,93,No,No,No,Good,Low,Stayed
41,Male,13,9737,Good,High,Below Average,2,No,93,Associate Degree,Single,0,Mid,Medium,37,No,No,No,Good,High,Left
21,Female,4,9126,Fair,Low,Average,2,Yes,7,Bachelor’s Degree,Single,2,Entry,Small,71,No,No,No,Poor,Medium,Left
41,Male,17,7345,Fair,Very High,Below Average,1,No,13,Associate Degree,Married,0,Senior,Medium,70,No,No,No,Excellent,Low,Stayed
33,Male,16,3593,Fair,Very High,Average,0,No,88,Bachelor’s Degree,Married,3,Entry,Medium,52,No,No,No,Fair,High,Left
39,Male,27,8902,Fair,Medium,High,2,No,91,PhD,Divorced,0,Entry,Medium,98,Yes,No,No,Poor,High,Stayed
34,Female,3,7690,Fair,Medium,Below Average,0,No,12,Associate Degree,Married,0,Senior,Medium,78,No,No,No,Good,Low,Left
19,Female,2,4475,Good,Very High,Below Average,3,No,31,PhD,Single,0,Entry,Large,70,No,No,No,Good,High,Left
45,Male,27,10701,Fair,Medium,Average,2,Yes,46,Bachelor’s Degree,Married,1,Senior,Medium,35,Yes,No,No,Fair,Medium,Stayed
53,Male,11,7964,Good,Medium,Below Average,0,Yes,82,Associate Degree,Divorced,2,Entry,Small,16,No,No,No,Good,Very High,Stayed
40,Female,24,4261,Fair,High,Average,2,Yes,73,PhD,Married,0,Mid,Small,67,No,No,No,Poor,Low,Left
57,Male,2,10754,Good,High,Average,2,No,47,Bachelor’s Degree,Married,2,Senior,Small,50,No,No,No,Poor,Medium,Stayed
59,Male,35,8949,Fair,Medium,Below Average,2,No,26,High School,Married,3,Entry,Medium,109,Yes,No,No,Fair,Medium,Stayed
27,Male,9,10346,Fair,Medium,High,0,No,52,Master’s Degree,Single,4,Entry,Medium,34,No,No,Yes,Excellent,Very High,Left
25,Male,10,4668,Excellent,Medium,Low,0,Yes,25,Associate Degree,Married,1,Mid,Medium,66,No,No,No,Good,High,Stayed
59,Male,1,8203,Excellent,High,Average,1,No,50,Master’s Degree,Single,0,Senior,Medium,74,No,No,No,Fair,Very High,Stayed
40,Female,11,8699,Excellent,Low,High,0,No,92,Bachelor’s Degree,Single,2,Entry,Medium,83,Yes,No,No,Good,Medium,Stayed
28,Male,8,9904,Excellent,High,Below Average,0,No,55,High School,Single,0,Mid,Large,14,No,Yes,No,Good,Medium,Stayed
53,Male,13,5991,Good,High,High,1,No,24,PhD,Divorced,1,Mid,Medium,57,No,No,No,Fair,Medium,Stayed
46,Male,1,8390,Good,Medium,High,0,No,39,Bachelor’s Degree,Single,0,Entry,Medium,52,No,No,Yes,Fair,Low,Stayed
46,Male,22,10563,Fair,High,Below Average,3,No,24,Master’s Degree,Single,1,Mid,Medium,78,No,No,No,Fair,High,Left
18,Male,5,7294,Good,Medium,Below Average,0,Yes,10,High School,Married,1,Entry,Small,76,No,No,Yes,Excellent,High,Left
41,Male,5,8603,Fair,Medium,High,3,No,69,Master’s Degree,Married,4,Mid,Medium,40,No,No,No,Good,Medium,Stayed
55,Male,10,3855,Excellent,High,Below Average,1,No,69,Associate Degree,Single,2,Entry,Large,67,No,No,No,Poor,Medium,Left
26,Female,3,8663,Fair,Low,Average,1,No,38,Master’s Degree,Married,1,Mid,Medium,18,No,No,Yes,Good,Medium,Stayed
26,Female,3,6903,Fair,Very High,Below Average,1,No,76,Master’s Degree,Divorced,0,Entry,Small,63,No,No,Yes,Fair,Low,Left
20,Female,4,11448,Good,Medium,Below Average,0,No,88,Associate Degree,Married,0,Senior,Medium,45,No,No,Yes,Good,Low,Stayed
31,Male,14,8269,Fair,High,High,1,No,66,Associate Degree,Divorced,0,Mid,Small,22,No,No,No,Good,Low,Left
28,Male,4,11212,Good,High,Average,0,No,79,High School,Married,1,Senior,Medium,21,Yes,No,No,Good,Low,Stayed
19,Female,3,3350,Good,Very High,Average,1,Yes,13,PhD,Single,1,Entry,Large,55,No,No,No,Excellent,Low,Stayed
32,Male,13,10473,Good,Medium,High,0,No,44,Master’s Degree,Married,3,Entry,Small,64,No,No,No,Excellent,Very High,Stayed
59,Female,18,5516,Poor,Low,Average,2,Yes,81,Bachelor’s Degree,Single,0,Mid,Small,52,No,No,No,Good,Medium,Left
22,Female,11,6117,Good,Medium,Average,1,Yes,32,Bachelor’s Degree,Single,2,Mid,Small,37,No,No,No,Fair,Low,Left
37,Female,20,4176,Good,Medium,Average,0,No,94,High School,Married,1,Mid,Medium,79,Yes,No,No,Fair,Medium,Stayed
31,Male,13,5132,Excellent,High,Average,2,No,60,High School,Single,2,Entry,Small,14,No,Yes,No,Good,Low,Left
52,Female,40,6329,Poor,Medium,Average,2,No,86,High School,Divorced,2,Mid,Medium,69,No,No,No,Poor,Medium,Left
44,Female,14,10748,Fair,High,Average,0,No,75,PhD,Married,5,Entry,Large,56,No,No,Yes,Good,Low,Stayed
53,Male,39,6700,Excellent,High,Average,1,No,16,High School,Married,1,Senior,Large,105,No,No,No,Fair,Medium,Stayed
18,Male,10,4227,Excellent,Medium,Average,0,Yes,78,Bachelor’s Degree,Divorced,2,Entry,Large,89,No,No,No,Good,Medium,Left
44,Male,36,9279,Good,High,High,2,No,27,Associate Degree,Single,2,Entry,Medium,97,No,No,No,Fair,Low,Left
23,Female,14,11666,Excellent,High,High,0,No,41,Bachelor’s Degree,Single,3,Mid,Medium,44,No,No,No,Good,Low,Left
52,Female,21,4529,Fair,Low,Average,0,Yes,96,Master’s Degree,Married,3,Entry,Medium,50,No,No,No,Good,High,Left
21,Female,9,10295,Excellent,Medium,Average,1,Yes,31,Bachelor’s Degree,Married,2,Mid,Small,36,No,No,Yes,Excellent,Low,Stayed
39,Female,21,4051,Excellent,High,Average,1,No,81,Associate Degree,Single,1,Mid,Medium,43,No,No,No,Fair,Medium,Stayed
45,Male,13,9525,Excellent,High,Average,1,No,72,Associate Degree,Divorced,5,Senior,Medium,63,No,No,No,Good,Low,Stayed
22,Male,5,5468,Good,High,Average,0,No,43,Bachelor’s Degree,Married,0,Mid,Small,83,No,No,No,Excellent,Low,Left
32,Male,15,8699,Excellent,Very High,Average,1,No,28,Associate Degree,Married,3,Entry,Medium,57,No,No,No,Good,Low,Left
29,Female,18,6419,Good,High,Average,2,No,32,Bachelor’s Degree,Married,0,Mid,Small,40,No,No,No,Good,Low,Left
50,Female,25,4733,Fair,High,Average,1,No,62,High School,Single,1,Mid,Medium,45,No,No,No,Poor,Very High,Left
40,Male,32,7817,Good,High,Average,0,No,13,Master’s Degree,Married,4,Mid,Medium,105,No,No,No,Good,High,Stayed
39,Female,14,9172,Excellent,Low,High,0,No,83,Bachelor’s Degree,Married,2,Mid,Large,25,Yes,Yes,No,Good,Medium,Stayed
39,Male,13,10193,Fair,High,Average,3,No,38,Master’s Degree,Married,0,Entry,Small,37,No,No,No,Good,Low,Stayed
42,Male,9,9714,Poor,Medium,Low,0,No,89,Associate Degree,Married,0,Mid,Large,79,No,No,No,Poor,Low,Left
51,Female,28,8917,Poor,High,High,1,No,17,Associate Degree,Single,1,Entry,Medium,78,No,No,No,Good,High,Left
51,Female,12,6687,Poor,High,Below Average,0,No,11,Bachelor’s Degree,Married,5,Mid,Small,60,Yes,No,No,Good,Medium,Stayed
25,Male,10,6338,Excellent,Medium,Average,0,No,66,Bachelor’s Degree,Single,2,Entry,Medium,49,Yes,No,No,Poor,Medium,Left
29,Male,4,7754,Fair,High,Below Average,0,Yes,40,Bachelor’s Degree,Single,0,Mid,Small,46,No,No,No,Good,Medium,Left
58,Male,4,5593,Fair,High,Average,2,Yes,30,Master’s Degree,Married,1,Senior,Medium,79,No,No,No,Excellent,Medium,Stayed
43,Female,12,10295,Poor,Very High,Average,2,Yes,18,Bachelor’s Degree,Married,0,Entry,Medium,36,No,No,No,Good,Medium,Stayed
24,Female,15,7925,Fair,Medium,High,0,No,83,High School,Married,3,Mid,Large,72,No,No,No,Fair,Medium,Left
36,Male,2,8571,Fair,High,Average,2,No,93,Master’s Degree,Married,2,Entry,Medium,53,No,No,No,Good,High,Stayed
35,Female,1,8201,Fair,Medium,Average,0,No,82,High School,Married,1,Mid,Medium,27,No,No,No,Good,Medium,Stayed
47,Male,38,9472,Good,Very High,Below Average,1,No,45,Associate Degree,Married,1,Mid,Medium,41,Yes,No,No,Poor,Medium,Left
31,Female,1,3615,Excellent,High,Average,3,No,79,PhD,Married,1,Mid,Medium,25,No,No,No,Fair,High,Stayed
30,Female,18,9111,Good,High,Average,0,No,38,Associate Degree,Single,1,Entry,Large,90,No,No,No,Excellent,Low,Stayed
35,Male,22,8436,Fair,Medium,Average,1,Yes,58,High School,Divorced,3,Mid,Medium,74,No,No,No,Excellent,Medium,Stayed
49,Male,41,6895,Good,High,High,0,Yes,29,Bachelor’s Degree,Divorced,0,Mid,Medium,55,No,No,No,Fair,Low,Left
55,Female,10,6522,Good,High,Average,0,No,4,PhD,Married,1,Mid,Small,77,No,Yes,Yes,Poor,Low,Stayed
50,Male,24,8420,Fair,High,Average,0,Yes,17,Bachelor’s Degree,Divorced,4,Mid,Small,75,No,No,No,Good,High,Stayed
53,Female,32,10989,Good,High,Average,0,Yes,17,Master’s Degree,Married,1,Mid,Large,63,No,No,No,Fair,High,Left
44,Female,19,10191,Good,High,Average,0,No,2,Associate Degree,Divorced,1,Entry,Medium,82,No,No,No,Good,Medium,Left
20,Male,1,7042,Excellent,Low,Below Average,2,No,48,Bachelor’s Degree,Divorced,1,Entry,Medium,26,No,No,Yes,Poor,Medium,Left
29,Male,12,4320,Excellent,High,Average,0,No,38,PhD,Married,0,Mid,Medium,21,No,No,No,Poor,High,Stayed
48,Female,36,8454,Poor,Very High,Low,0,No,54,Associate Degree,Divorced,1,Mid,Large,70,No,No,No,Fair,Low,Left
22,Male,2,8481,Good,High,Low,2,Yes,28,Master’s Degree,Married,1,Entry,Medium,79,Yes,No,No,Excellent,High,Stayed
52,Female,23,8977,Fair,Low,Average,0,No,92,Bachelor’s Degree,Single,2,Mid,Small,50,No,No,No,Excellent,Low,Left
40,Male,3,9968,Fair,Medium,Below Average,2,No,92,High School,Married,4,Entry,Small,51,No,No,Yes,Poor,Very High,Stayed
43,Male,19,11052,Good,Medium,Average,3,Yes,1,Bachelor’s Degree,Single,0,Mid,Medium,85,No,No,No,Good,High,Stayed
49,Female,31,6465,Good,High,Average,0,Yes,26,Bachelor’s Degree,Married,2,Mid,Large,51,No,No,No,Fair,Medium,Stayed
20,Male,6,10163,Excellent,High,Average,2,No,7,Bachelor’s Degree,Single,4,Entry,Large,41,No,No,No,Fair,Medium,Stayed
56,Female,1,6736,Good,High,Average,0,No,87,Associate Degree,Married,0,Senior,Medium,61,Yes,No,Yes,Fair,Low,Stayed
59,Female,19,6658,Fair,High,Average,2,No,14,Associate Degree,Single,0,Mid,Medium,97,Yes,No,No,Good,Low,Stayed
44,Male,23,8710,Good,High,Low,0,No,32,Associate Degree,Single,2,Mid,Medium,86,No,No,No,Fair,Low,Left
42,Male,23,5949,Fair,Low,Average,2,No,94,High School,Married,0,Entry,Medium,70,No,No,No,Good,Low,Left
26,Female,1,3139,Fair,Low,Average,0,No,49,Bachelor’s Degree,Single,3,Entry,Medium,60,No,No,Yes,Fair,Low,Left
38,Male,9,4553,Fair,Very High,High,1,Yes,22,Associate Degree,Married,3,Senior,Medium,87,Yes,No,No,Fair,High,Stayed
36,Male,21,7201,Good,Very High,Below Average,1,No,40,Associate Degree,Divorced,0,Entry,Small,62,No,No,No,Excellent,Low,Stayed
47,Male,9,8853,Good,Low,Average,2,No,93,Associate Degree,Married,0,Mid,Medium,19,No,No,Yes,Good,Low,Stayed
55,Male,21,7498,Good,Medium,Average,0,No,54,Associate Degree,Married,1,Senior,Small,56,No,No,No,Good,Low,Stayed
22,Female,7,6539,Fair,High,Below Average,0,No,30,Bachelor’s Degree,Single,4,Senior,Medium,52,No,No,No,Good,Medium,Stayed
55,Male,25,4233,Good,Low,Average,2,No,73,Bachelor’s Degree,Single,5,Mid,Medium,79,No,No,No,Good,Medium,Stayed
24,Male,16,5710,Good,Medium,Below Average,0,Yes,46,Master’s Degree,Single,4,Mid,Large,63,Yes,No,No,Good,High,Stayed
54,Female,2,6520,Poor,Medium,Average,2,No,82,Bachelor’s Degree,Married,1,Senior,Medium,42,No,No,No,Good,Low,Stayed
20,Male,2,4392,Fair,High,Average,0,No,36,High School,Single,0,Mid,Small,66,Yes,No,Yes,Good,High,Stayed
53,Male,12,7403,Good,Very High,Average,2,No,70,Master’s Degree,Married,2,Entry,Large,57,No,No,Yes,Poor,High,Stayed
48,Male,28,6301,Fair,Very High,Average,0,No,24,Master’s Degree,Single,1,Entry,Small,89,No,No,No,Good,High,Left
54,Female,6,4945,Fair,High,Average,1,No,50,Bachelor’s Degree,Married,0,Senior,Medium,35,No,No,No,Excellent,Low,Stayed
39,Female,30,9005,Poor,High,Average,3,Yes,90,Associate Degree,Single,1,Entry,Large,32,Yes,No,No,Good,Low,Stayed
52,Female,17,7796,Poor,Very High,Average,0,No,19,High School,Single,0,Mid,Medium,52,Yes,No,No,Poor,Medium,Stayed
52,Male,5,6544,Poor,Medium,High,0,Yes,69,Master’s Degree,Married,1,Mid,Large,55,Yes,No,No,Poor,Low,Left
